* mu. Ara,17 44 08.7031,-51 50 02.591,-15.034,-190.901,5.15,64.0853,G,Cervantes,Mu Ara,HD 160691,SAO 244981,HIP 86796,HR  6585,Gaia DR2 5945941905576552064,Gaia DR3 5945941905576552064
* tet02 Tau,04 28 39.7416,+15 52 15.148,106.148,-20.294,3.41,21.8125,A,Chamukuy,Theta02 Tau,HD  28319,SAO  93957,HIP 20894,HR  1412,Gaia DR2 3312744219987686144,Gaia DR3 3312744219988782720
* bet CVn,12 33 44.5442,+41 21 26.921,-704.702,292.155,4.25,118.0266,G,Chara,BEta Canes Venatici,HD 109358,SAO  44230,HIP 61317,HR  4785,Gaia DR2 1534011998570864256,Gaia DR3 1534011998572555776
HD 192699,20 16 06.0037,+04 34 50.859,-40.884,-51.962,6.446,13.7264,G,Chechia,,HD 192699,SAO 125628,HIP 99894,,Gaia DR2 4246124829130366848,Gaia DR3 4246124829130366848
* tet Leo,11 14 14.4056,+15 25 46.455,-60.538,-78.675,3.35,20.316,A,Chertan,Theta Leo,HD  97633,SAO  99512,HIP 54879,HR  4359,Gaia DR2 3970052886914307200,Gaia DR3 3970052886914547712
* bet Ser,15 46 11.2551,+15 25 18.549,65.958,-47.791,3.67,21.5924,A,Chow,BEta Serpens,HD 141003,SAO 101725,HIP 77233,HR  5867,Gaia DR2 1195823284390905728,Gaia DR3 1195823284391343104
HD 52265,07 00 18.0357,-05 22 01.780,-116.513,80.633,6.282,33.425,G,Citala,,HD  52265,SAO 134031,HIP 33719,HR  2622,Gaia DR2 3101382419728401408,Gaia DR3 3101382419728401408
Cl Collinder 399,19 25.4,+20 11,--,--,3.6,--,,Coathanger,,,,,,,
* alf02 CVn,12 56 01.6655,+38 19 06.155,-233.776,55.035,2.88,32.7227,A,Cor Caroli,Alpha Canes Venatici A,HD 112413,SAO  63257,HIP 63125,HR  4915,,Gaia DR3 1517698716348324992
* ome Her,16 25 24.9546,+14 01 59.762,38.682,-59.551,4.58,13.1034,A,Cujam,Omega Hercules,HD 148112,SAO 102153,HIP 80463,HR  6117,Gaia DR2 4463697873659897216,Gaia DR3 4463697873660957568
* bet Eri,05 07 50.9748,-05 05 11.389,-88.481,-70.497,2.79,36.2456,A,Cursa,BEta Eridanus,HD  33111,SAO 131794,HIP 23875,HR  1666,,Gaia DR3 3211922645854328832
* bet01 Cap,20 21 00.6665,-14 46 53.067,44.133,0.36,3.08,8.3966,G,Dabih Major,BEta01 Capricornus,HD 193496|HD 193495,SAO 163481,HIP 100345,HR  7776,Gaia DR2 6875990375998568192,Gaia DR3 6875990375999580544
* bet02 Cap,20 20 46.5478,-14 47 05.603,44.411,-0.637,6.1,9.8983,B,Dabih Minor,BEta02 Capricornus,HD 193452,SAO 163471,HIP 100325,HR  7775,Gaia DR2 6875990891389558400,Gaia DR3 6875990891389558400
* alf For,03 12 04.5298,-28 59 15.439,359.565,619.186,3.98,71.4337,F,Dalim,Alpha Fornax,HD  20010|HD  20010A,SAO 168373,HIP 14879,HR   963,Gaia DR2 5059348952156075776,Gaia DR3 5059348952161258624
NAME del Lyr Cluster,18 54 16.3,+36 53 56,1.11,-3.01,3.8,2.779,,del Lyr Cluster,,,,,,,
* alf Cyg,20 41 25.9151,+45 16 49.219,2.01,1.85,1.25,2.31,A,Deneb,Alpha Cygnus,HD 197345,SAO  49941,HIP 102098,HR  7924,,
* del Cap,21 47 02.4442,-16 07 38.233,261.7,-296.7,2.83,84.27,K,Deneb Algedi,Delphinusta Capricornus,HD 207098,SAO 164644,HIP 107556,HR  8322,,Gaia DR3 6838311796136238976
* bet Leo,11 49 03.5783,+14 34 19.409,-497.68,-114.67,2.13,90.91,A,Denebola,BEta Leo,HD 102647,SAO  99809,HIP 57632,HR  4534,,
* alf Com,13 09 59.2852,+17 31 46.038,-433.13,141.24,4.32,56.1,F,Diadem,Alpha Coma Berenices,,SAO 100443,HIP 64241,,,Gaia DR3 3937881211045638400
* bet Cet,00 43 35.3709,-17 59 11.782,232.55,31.99,2.01,33.86,G,Diphda,BEta Cetus,HD   4128,SAO 147420,HIP 3419,HR   188,,
* alf CMa,06 45 08.9172,-16 42 58.017,-546.01,-1223.07,-1.46,379.21,A,Sirius,Alpha Canis Major,HD  48915|HD  48915A,SAO 151881,HIP 32349,HR  2491,,
* del Sco,16 00 20.0052,-22 37 18.143,-10.21,-35.41,2.32,6.64,B,Dschubba,Delphinusta Scorpius,HD 143275,SAO 184014,HIP 78401,HR  5953,,
